DATE,num_of_arrival_delays
2006-01-01,4813
2006-01-02,10149
2006-01-03,8623
2006-01-04,4019
2006-01-05,3556
2006-01-06,2574
2006-01-07,2027
2006-01-08,2606
2006-01-09,1894
2006-01-10,1545
2006-01-11,3754
2006-01-12,2210
2006-01-13,6805
2006-01-14,2984
2006-01-15,3648
2006-01-16,3595
2006-01-17,4169
2006-01-18,4527
2006-01-19,2980
2006-01-20,2896
2006-01-21,2357
2006-01-22,5471
2006-01-23,5200
2006-01-24,2423
2006-01-25,2059
2006-01-26,2042
2006-01-27,2168
2006-01-28,1945
2006-01-29,3564
2006-01-30,3540
2006-01-31,2156
2006-02-01,2012
2006-02-02,2977
2006-02-03,5903
2006-02-04,4018
2006-02-05,3076
2006-02-06,3475
2006-02-07,1542
2006-02-08,2472
2006-02-09,2435
2006-02-10,3845
2006-02-11,3622
2006-02-12,2581
2006-02-13,3308
2006-02-14,2096
2006-02-15,2967
2006-02-16,6353
2006-02-17,8638
2006-02-18,7135
2006-02-19,7290
2006-02-20,6602
2006-02-21,4837
2006-02-22,5417
2006-02-23,5685
2006-02-24,4766
2006-02-25,3810
2006-02-26,4447
2006-02-27,4254
2006-02-28,3047
2006-03-01,2442
2006-03-02,5749
2006-03-03,3969
2006-03-04,1993
2006-03-05,4431
2006-03-06,3832
2006-03-07,3336
2006-03-08,3261
2006-03-09,6488
2006-03-10,5329
2006-03-11,4154
2006-03-12,6266
2006-03-13,7013
2006-03-14,4283
2006-03-15,4538
2006-03-16,5206
2006-03-17,3719
2006-03-18,3772
2006-03-19,6170
2006-03-20,7949
2006-03-21,5015
2006-03-22,3102
2006-03-23,4364
2006-03-24,4617
2006-03-25,2374
2006-03-26,3347
2006-03-27,2589
2006-03-28,5593
2006-03-29,3165
2006-03-30,3314
2006-03-31,4517
2006-04-01,2877
2006-04-02,5651
2006-04-03,6604
2006-04-04,4952
2006-04-05,4786
2006-04-06,5612
2006-04-07,7707
2006-04-08,4015
2006-04-09,3123
2006-04-10,2230
2006-04-11,2316
2006-04-12,2869
2006-04-13,4126
2006-04-14,4750
2006-04-15,1781
2006-04-16,3099
2006-04-17,4290
2006-04-18,2640
2006-04-19,3792
2006-04-20,4645
2006-04-21,5584
2006-04-22,3018
2006-04-23,4003
2006-04-24,4822
2006-04-25,2736
2006-04-26,2765
2006-04-27,2431
2006-04-28,4312
2006-04-29,2973
2006-04-30,4206
2006-05-01,3351
2006-05-02,3508
2006-05-03,2493
2006-05-04,3593
2006-05-05,4975
2006-05-06,2360
2006-05-07,3827
2006-05-08,3976
2006-05-09,3252
2006-05-10,5336
2006-05-11,6057
2006-05-12,5249
2006-05-13,1992
2006-05-14,4300
2006-05-15,4988
2006-05-16,3518
2006-05-17,3750
2006-05-18,4811
2006-05-19,4716
2006-05-20,1928
2006-05-21,4065
2006-05-22,3688
2006-05-23,2483
2006-05-24,5237
2006-05-25,5467
2006-05-26,6246
2006-05-27,2324
2006-05-28,1487
2006-05-29,4088
2006-05-30,4278
2006-05-31,5350
2006-06-01,5209
2006-06-02,5523
2006-06-03,3357
2006-06-04,3357
2006-06-05,3006
2006-06-06,2567
2006-06-07,4804
2006-06-08,4444
2006-06-09,4835
2006-06-10,2862
2006-06-11,3774
2006-06-12,4702
2006-06-13,2914
2006-06-14,3725
2006-06-15,3751
2006-06-16,5127
2006-06-17,3859
2006-06-18,4575
2006-06-19,6561
2006-06-20,4581
2006-06-21,6681
2006-06-22,7432
2006-06-23,6530
2006-06-24,4962
2006-06-25,7817
2006-06-26,8267
2006-06-27,7862
2006-06-28,6940
2006-06-29,5206
2006-06-30,5453
2006-07-01,3858
2006-07-02,4829
2006-07-03,2731
2006-07-04,4270
2006-07-05,7307
2006-07-06,4730
2006-07-07,3598
2006-07-08,2088
2006-07-09,3792
2006-07-10,3503
2006-07-11,5047
2006-07-12,5639
2006-07-13,4981
2006-07-14,5245
2006-07-15,3519
2006-07-16,3641
2006-07-17,3696
2006-07-18,4922
2006-07-19,5945
2006-07-20,7803
2006-07-21,7482
2006-07-22,6217
2006-07-23,5019
2006-07-24,4605
2006-07-25,4719
2006-07-26,4681
2006-07-27,6475
2006-07-28,6794
2006-07-29,3998
2006-07-30,5162
2006-07-31,4475
2006-08-01,4316
2006-08-02,3927
2006-08-03,7395
2006-08-04,4493
2006-08-05,2945
2006-08-06,4689
2006-08-07,6213
2006-08-08,3867
2006-08-09,3652
2006-08-10,10323
2006-08-11,5527
2006-08-12,3281
2006-08-13,3642
2006-08-14,4444
2006-08-15,3096
2006-08-16,2825
2006-08-17,2833
2006-08-18,3997
2006-08-19,2954
2006-08-20,4077
2006-08-21,3474
2006-08-22,3813
2006-08-23,3434
2006-08-24,7724
2006-08-25,5736
2006-08-26,3229
2006-08-27,4609
2006-08-28,6354
2006-08-29,4305
2006-08-30,4152
2006-08-31,5458
2006-09-01,6215
2006-09-02,3250
2006-09-03,1902
2006-09-04,2883
2006-09-05,4611
2006-09-06,2590
2006-09-07,3899
2006-09-08,4364
2006-09-09,2559
2006-09-10,5168
2006-09-11,6738
2006-09-12,5062
2006-09-13,5734
2006-09-14,5961
2006-09-15,6489
2006-09-16,2625
2006-09-17,5748
2006-09-18,4603
2006-09-19,3518
2006-09-20,2973
2006-09-21,4109
2006-09-22,6980
2006-09-23,5446
2006-09-24,5266
2006-09-25,2876
2006-09-26,1785
2006-09-27,2974
2006-09-28,5147
2006-09-29,4226
2006-09-30,2199
2006-10-01,3294
2006-10-02,3756
2006-10-03,2811
2006-10-04,5860
2006-10-05,4854
2006-10-06,6724
2006-10-07,2358
2006-10-08,2768
2006-10-09,3099
2006-10-10,4492
2006-10-11,5230
2006-10-12,7197
2006-10-13,6158
2006-10-14,3873
2006-10-15,6044
2006-10-16,6746
2006-10-17,6661
2006-10-18,6086
2006-10-19,6822
2006-10-20,7129
2006-10-21,2737
2006-10-22,5952
2006-10-23,5044
2006-10-24,3399
2006-10-25,4536
2006-10-26,6983
2006-10-27,8595
2006-10-28,4957
2006-10-29,3942
2006-10-30,2994
2006-10-31,1966
2006-11-01,3296
2006-11-02,5551
2006-11-03,4311
2006-11-04,1839
2006-11-05,3502
2006-11-06,4494
2006-11-07,5589
2006-11-08,4246
2006-11-09,3086
2006-11-10,3840
2006-11-11,2790
2006-11-12,4882
2006-11-13,6133
2006-11-14,3268
2006-11-15,7881
2006-11-16,7103
2006-11-17,4942
2006-11-18,1979
2006-11-19,2972
2006-11-20,3599
2006-11-21,4675
2006-11-22,4656
2006-11-23,1864
2006-11-24,1281
2006-11-25,1809
2006-11-26,4437
2006-11-27,4753
2006-11-28,5304
2006-11-29,6360
2006-11-30,6548
2006-12-01,6561
2006-12-02,3698
2006-12-03,3794
2006-12-04,4376
2006-12-05,2470
2006-12-06,3031
2006-12-07,4932
2006-12-08,4849
2006-12-09,1693
2006-12-10,2871
2006-12-11,3090
2006-12-12,3963
2006-12-13,4040
2006-12-14,7123
2006-12-15,7780
2006-12-16,3917
2006-12-17,3594
2006-12-18,3712
2006-12-19,4676
2006-12-20,6523
2006-12-21,7485
2006-12-22,10772
2006-12-23,7933
2006-12-24,4083
2006-12-25,4175
2006-12-26,7716
2006-12-27,6035
2006-12-28,5386
2006-12-29,5123
2006-12-30,6230
2006-12-31,5497
